date,prediction,prediction_label,defect_probability,true_label,true_label_name,correct
2020 10 30 13:28:24,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:28:19,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:28:29,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:28:34,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:28:39,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:28:44,1,불량,0.9999099,1.0,불량,True
2020 10 30 13:29:09,1,불량,0.9999081,1.0,불량,True
2020 10 30 13:29:04,1,불량,0.9999081,1.0,불량,True
2020 10 30 13:29:39,1,불량,0.9999081,1.0,불량,True
2020 10 30 13:33:09,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:32:39,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:32:34,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:32:59,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:32:49,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:33:04,1,불량,0.99990606,1.0,불량,True
2020 10 30 13:30:24,1,불량,0.99990547,1.0,불량,True
2020 10 30 13:28:49,1,불량,0.99989665,1.0,불량,True
2020 10 30 13:28:54,1,불량,0.99989665,1.0,불량,True
2020 10 30 13:28:59,1,불량,0.99989665,1.0,불량,True
2020 10 30 13:32:54,1,불량,0.99989414,1.0,불량,True
2020 10 30 13:31:39,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:32:19,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:31:59,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:31:29,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:31:49,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:31:54,1,불량,0.99989235,1.0,불량,True
2020 10 30 13:31:34,1,불량,0.99988556,1.0,불량,True
2020 10 30 13:31:44,1,불량,0.99988556,1.0,불량,True
2020 10 30 13:32:04,1,불량,0.99988556,1.0,불량,True
2020 10 30 13:32:24,1,불량,0.9998834,1.0,불량,True
2020 10 30 13:32:44,1,불량,0.9998834,1.0,불량,True
2020 10 30 13:32:29,1,불량,0.9998834,1.0,불량,True
2020 10 30 13:32:09,1,불량,0.99987876,1.0,불량,True
2020 10 30 13:29:19,1,불량,0.9998772,1.0,불량,True
2020 10 30 13:29:34,1,불량,0.9998772,1.0,불량,True
2020 10 30 13:29:29,1,불량,0.9998772,1.0,불량,True
2020 10 30 13:29:14,1,불량,0.9998772,1.0,불량,True
